TIFfilename,CellType,Condition,Nucleus ID,Area (um^2),Perimeter (um),Major,Minor,Estimated Radius (um),Estimated Volume (um^3),Estimated Surface Area (um^2)
,GM12878,Return,3,5273,261.077,93.521,71.789,39.517,252361.774,19541.413
,GM12878,Return,4,5192,257.255,90.178,73.307,39.465,253740.689,19525.058
,GM12878,Return,5,4151,228.598,76.007,69.536,35.847,192429.487,16141.102
,GM12878,Return,6,4851,247.228,82.223,75.119,38.744,242935.81,18855.227
,GM12878,Return,7,4789,245.433,80.513,75.734,38.664,241794.502,18781.673
,GM12878,Return,8,7228,303.169,105.352,87.355,46.677,420936.846,27325.94
,GM12878,Return,9,5239,259.425,92.144,72.392,39.488,252840.613,19528.414
,GM12878,Return,10,5884,274.721,97.67,76.705,41.847,300889.587,21930.744
,GM12878,Return,11,5256,258.693,89.732,74.58,39.815,261330.878,19883.514
,GM12878,Return,12,4744,246.069,85.327,70.79,37.818,223887.024,17937.75
,GM12878,Return,13,4322,233.408,78.82,69.816,36.409,201161.553,16645.285
,GM12878,Return,14,4876,254.873,95.894,64.741,37.563,210449.968,17548.118
,GM12878,Return,15,5488,264.361,91.65,76.241,40.689,278938.371,20765.76
,GM12878,Return,16,5072,252.912,83.934,76.94,39.636,260160.229,19734.214
,GM12878,Return,17,4440,236.824,78.762,71.776,37.052,212458.378,17244.663
,GM12878,Return,18,7047,298.06,99.155,90.49,46.689,425122.82,27381.79
,GM12878,Return,19,4959,249.918,79.538,79.383,39.717,262438.957,19823.026
,GM12878,Return,20,4679,242.843,81.297,73.281,37.977,228589.31,18113.572
112316_Return_3.tif,GM12878,Return,1,3041,197.561,70.159,55.188,30.089,111884.86,11338.978
,GM12878,Return,2,3064,196.996,66.396,58.757,30.652,120021.698,11797.352
,GM12878,Return,3,3172,199.99,65.454,61.703,31.477,130481.029,12448.444
,GM12878,Return,4,3679,214.835,70.453,66.488,33.905,163073.973,14443.204
,GM12878,Return,5,2843,189.194,61.986,58.397,29.797,110681.06,11155.045
,GM12878,Return,6,3583,212.217,69.55,65.593,33.456,156678.984,14063.283
,GM12878,Return,7,3433,207.848,68.003,64.277,32.76,147108.542,13483.999
,GM12878,Return,8,2960,193.551,63.36,59.482,30.387,117377.516,11601.439
,GM12878,Return,9,5594,265.55,86.85,82.009,41.811,305838.023,21964.927
,GM12878,Return,10,3356,205.073,67.347,63.448,32.374,141955.672,13168.134
,GM12878,Return,11,3092,200.793,73.338,53.681,30.117,110654.449,11328.869
,GM12878,Return,12,2967,193.713,65.762,57.445,30.109,113626.101,11380.958
,GM12878,Return,13,3056,196.613,66.65,58.38,30.568,118939.732,11731.595
,GM12878,Return,14,3072,196.604,62.592,62.49,31.262,127978.938,12281.271
,GM12878,Return,15,3072,196.604,62.592,62.49,31.262,127978.938,12281.271
,GM12878,Return,16,2661,183.284,62.661,54.07,28.467,95919.892,10171.594
,GM12878,Return,17,5560,264.341,84.195,84.081,42.06,311659.708,22229.927
,GM12878,Return,18,3926,222.093,70.757,70.646,35.342,184902.672,15695.667
,GM12878,Return,19,3253,203.459,70.734,58.555,31.307,126985.698,12292.641
,GM12878,Return,20,3186,199.892,63.771,63.611,31.832,135109.627,12733.334
112316_Return_4.tif,GM12878,Return,1,3193,200.664,65.779,61.805,31.565,131562.801,12518.029
,GM12878,Return,2,5687,268.337,91.36,79.257,41.646,300489.965,21771.512
,GM12878,Return,3,3048,196.294,66.955,57.962,30.48,117779.135,11661.627
,GM12878,Return,4,2930,192.469,65.462,56.988,29.906,111315.265,11227.919
,GM12878,Return,5,4058,226.629,76.969,67.128,35.204,181602.525,15558.703
,GM12878,Return,6,3242,201.954,65.414,63.103,31.937,136385.859,12816.308
,GM12878,Return,7,4315,232.853,75.263,72.998,36.877,209991.672,17087.972
,GM12878,Return,8,5571,264.998,86.373,82.124,41.77,305011.922,21922.496
,GM12878,Return,9,4446,236.773,75.464,75.013,37.582,222336.883,17748.483
,GM12878,Return,10,3840,219.761,70.073,69.774,34.937,178622.669,15338.277
,GM12878,Return,11,5802,270.245,86.008,85.892,42.965,332233.103,23197.768
,GM12878,Return,12,5659,266.324,85.005,84.763,42.422,319783.265,22614.582
,GM12878,Return,13,3340,204.843,65.236,65.188,32.602,145151.41,13356.674
,GM12878,Return,14,3955,223.039,70.965,70.96,35.481,187098.387,15819.672
,GM12878,Return,15,3870,219.832,70.197,70.194,35.098,181099.461,15479.689
,GM12878,Return,16,3100,198.277,67.372,58.586,30.757,121078.144,11875.797
,GM12878,Return,17,4411,235.766,74.947,74.937,37.47,220366.453,17643.353
,GM12878,Return,18,2807,187.503,59.804,59.762,29.888,111835.35,11225.445
,GM12878,Return,19,3103,197.921,62.858,62.854,31.428,130024.449,12411.782
,GM12878,Return,20,3083,197.122,62.721,62.585,31.315,128632.914,12323.079
112316_Return_5.tif,GM12878,Return,1,3907,221.892,70.816,70.246,35.218,182967.188,15586.118
,GM12878,Return,2,3987,224.069,71.553,70.946,35.574,188574.211,15902.958
,GM12878,Return,3,3784,218.36,71.582,67.306,34.366,169789.181,14838.173
,GM12878,Return,4,4146,228.488,75.062,70.326,35.952,194379.556,16239.596
,GM12878,Return,5,3616,213.669,68.961,66.763,33.748,160943.655,14311.349
,GM12878,Return,6,4080,226.862,75.287,69,35.548,187679.482,15873.511
,GM12878,Return,7,3728,216.631,70.698,67.139,34.163,166861.248,14664.204
,GM12878,Return,8,4438,236.396,77.048,73.339,37.288,216985.124,17469.897
,GM12878,Return,9,3659,214.476,69.89,66.659,33.868,162604.01,14412.626
,GM12878,Return,10,3722,216.172,68.874,68.807,34.415,170733.669,14883.223
,GM12878,Return,11,3760,217.627,69.246,69.136,34.586,173301.296,15032.072
,GM12878,Return,12,3927,222.567,70.746,70.676,35.35,185030.975,15702.923
,GM12878,Return,13,4201,229.548,73.139,73.133,36.568,204820.97,16803.525
,GM12878,Return,14,3772,217.627,69.367,69.235,34.64,174101.666,15078.322
,GM12878,Return,15,3764,217.184,69.284,69.171,34.604,173572.006,15047.723
,GM12878,Return,16,3218,201.39,64.014,64.006,32.004,137314.045,12871.449
,GM12878,Return,17,3504,210.042,66.82,66.768,33.393,155970.272,14012.385
,GM12878,Return,18,4183,228.744,73.012,72.946,36.484,203421.022,16726.872
