TIFfilename,CellType,Condition,Nucleus ID,Area (um^2),Perimeter (um),Major,Minor,Estimated Radius (um),Estimated Volume (um^3),Estimated Surface Area (um^2)
,GM12878,HBSS,14,3103,197.921,62.858,62.854,31.428,130024.449,12411.782
,GM12878,HBSS,15,2865,189.734,60.426,60.369,30.194,115305.609,11456.479
,GM12878,HBSS,16,2773,187.131,63.472,55.626,29.121,102833.938,10646.812
,GM12878,HBSS,17,2865,189.734,60.413,60.382,30.196,115330.457,11458.123
,GM12878,HBSS,18,3240,201.695,64.269,64.188,32.108,138646.162,12954.564
,GM12878,HBSS,19,4471,237.064,75.459,75.44,37.723,224860.425,17882.414
,GM12878,HBSS,20,2698,183.963,58.726,58.495,29.286,105212.305,10777.789
112316_HBSS_5.tif,GM12878,HBSS,1,3175,199.907,67.176,60.178,31.255,127376.192,12268.505
,GM12878,HBSS,2,5260,257.408,84.366,79.383,40.522,278369.145,20630.726
,GM12878,HBSS,3,3095,197.37,64.777,60.835,31.075,125523.916,12132.1
,GM12878,HBSS,4,4534,238.871,75.98,75.979,37.99,229659.84,18135.972
,GM12878,HBSS,5,3702,215.857,68.698,68.612,34.32,169333.496,14801.742
,GM12878,HBSS,6,4724,245.903,85.91,70.012,37.656,220489.194,17776.622
,GM12878,HBSS,7,5160,254.907,82.623,79.517,40.276,273539.189,20383.389
,GM12878,HBSS,8,2829,188.577,61.155,58.899,29.826,111082.702,11177.811
,GM12878,HBSS,9,4745,244.27,79.038,76.438,38.652,241798.273,18773.221
,GM12878,HBSS,10,3085,196.567,63.936,61.436,31.135,126354.277,12180.526
,GM12878,HBSS,11,2980,193.705,62.24,60.961,30.694,121107.871,11838.56
,GM12878,HBSS,12,3036,195.774,65.608,58.919,30.574,119252.133,11740.05
,GM12878,HBSS,13,4553,240.32,81.793,70.875,37.257,215129.964,17424.504
,GM12878,HBSS,14,2798,187.912,64.062,55.61,29.214,103730.126,10713.354
,GM12878,HBSS,15,2909,191.825,65.25,56.764,29.796,110084.233,11145.354
,GM12878,HBSS,16,3152,199.232,65.719,61.067,31.309,128322.478,12314.87
,GM12878,HBSS,17,5123,254.093,83.67,77.959,39.931,266256.924,20032.369
,GM12878,HBSS,18,2918,191.656,63.149,58.834,30.136,114451.596,11409.864
,GM12878,HBSS,19,4497,237.655,75.697,75.641,37.83,226773.245,17983.686
,GM12878,HBSS,20,4772,245.065,77.949,77.947,38.974,247975.046,19087.81
112316_EDTA_1.tif,GM12878,EDTA,1,4939,251.977,89.92,69.935,38.298,230273.562,18363.461
,GM12878,EDTA,2,5205,256.127,85.085,77.89,40.144,270280.699,20243.568
,GM12878,EDTA,3,4636,242.039,81.859,72.108,37.679,222859.913,17825.899
,GM12878,EDTA,4,4726,244.278,82.711,72.751,38.036,229213.308,18164.275
,GM12878,EDTA,5,6523,288.642,100.632,82.532,44.283,358904.964,24588.087
,GM12878,EDTA,6,4788,246.299,83.581,72.938,38.243,232816.57,18360.704
,GM12878,EDTA,7,6345,283.419,96.23,83.952,44.022,355116.786,24329.512
,GM12878,EDTA,8,7162,300.869,102.079,89.332,46.791,426529.569,27486.729
,GM12878,EDTA,9,4897,248.907,84.408,73.868,38.691,241154.246,18794.04
,GM12878,EDTA,10,4650,242.306,82.091,72.122,37.723,223578.322,17866.256
,GM12878,EDTA,11,4831,247.628,84.051,73.182,38.403,235694.83,18513.69
,GM12878,EDTA,12,5324,258.438,82.439,82.228,41.149,291857.455,21278.05
,GM12878,EDTA,13,4809,246.177,82.402,74.307,38.503,238229.66,18619.062
,GM12878,EDTA,14,4245,231.415,77.434,69.8,36.172,197533.683,16433.397
,GM12878,EDTA,15,4553,240.374,81.218,71.376,37.328,216648.32,17494.907
,GM12878,EDTA,16,4813,246.089,80.954,75.698,38.725,242887.825,18840.754
,GM12878,EDTA,17,4596,242.162,85.077,68.783,37.107,210752.637,17258.936
,GM12878,EDTA,18,4692,243.206,80.476,74.234,38.157,232204.552,18290.564
,GM12878,EDTA,19,4513,238.512,78.638,73.07,37.463,219841.307,17631.981
,GM12878,EDTA,20,5398,260.797,86.244,79.692,40.938,286785.352,21053.798
112316_EDTA_2.tif,GM12878,EDTA,1,7313,308.663,112.706,82.615,46.323,402775.897,26803.247
,GM12878,EDTA,2,5157,259.234,94.856,69.222,38.883,237986.167,18881.692
,GM12878,EDTA,3,6255,282.464,99.101,80.363,43.305,335111.198,23507.103
,GM12878,EDTA,4,8002,317.981,106.884,95.323,49.588,508518.462,30880.112
,GM12878,EDTA,5,8423,328.273,116.027,92.431,50.148,519030.631,31508.643
,GM12878,EDTA,6,5140,256.034,89.441,73.17,39.297,250727.158,19361.79
,GM12878,EDTA,7,7641,313.902,111.944,86.908,47.627,442709.616,28396.782
,GM12878,EDTA,8,4770,246.237,84.543,71.838,38.037,228446.623,18154.821
,GM12878,EDTA,9,5127,257.475,92.711,70.411,38.922,240663.879,18950.621
,GM12878,EDTA,10,4756,244.353,80.431,75.288,38.501,238711.648,18623.713
,GM12878,EDTA,11,7436,306.841,105.033,90.141,47.553,446857.587,28380.283
,GM12878,EDTA,12,4955,249.071,79.808,79.051,39.652,261131.814,19757.454
,GM12878,EDTA,13,4646,241.713,77.358,76.469,38.383,236850.702,18513.031
,GM12878,EDTA,14,6199,282.699,100.926,78.204,42.889,323191.267,23026.742
,GM12878,EDTA,15,6765,299.438,111.909,76.968,44.308,347123.52,24442.815
,GM12878,EDTA,16,5306,258.692,84.72,79.743,40.701,282078.321,20813.438
,GM12878,EDTA,17,4970,251.807,88.92,71.165,38.542,235793.041,18613.939
,GM12878,EDTA,18,7760,313.072,106.656,92.638,48.655,479250.147,29717.907
,GM12878,EDTA,19,4468,237.721,81.055,70.185,36.904,209058.12,17095.685
,GM12878,EDTA,20,8836,334.923,115.691,97.245,51.697,572839.238,33529.37
112316_EDTA_3.tif,GM12878,EDTA,1,4710,246.31,87.962,68.176,37.386,214070.465,17496.64
,GM12878,EDTA,2,4234,233.481,83.507,64.556,35.437,182219.449,15718.379
,GM12878,EDTA,3,4174,232.053,82.976,64.049,35.179,178227.955,15489.97
,GM12878,EDTA,4,5313,259.613,88.768,76.207,40.197,269926.043,20279.619
,GM12878,EDTA,5,4344,236.642,84.453,65.492,35.906,189666.317,16139.515
,GM12878,EDTA,6,4288,235.164,83.671,65.251,35.696,186529.672,15953.665
,GM12878,EDTA,7,5782,270.502,92.245,79.808,41.977,307633.986,22118.166
,GM12878,EDTA,8,4391,235.587,80.52,69.434,36.565,203257.584,16781.432
,GM12878,EDTA,9,3921,222.581,76.168,65.544,34.543,171331.437,14976.213
,GM12878,EDTA,10,4069,233.643,88.799,58.343,34.248,158264.755,14561.731
,GM12878,EDTA,11,4019,226.974,80.654,63.446,34.591,169993.778,14985.814
,GM12878,EDTA,12,4740,245.635,83.582,72.206,37.999,228169.692,18124.392
,GM12878,EDTA,13,4655,243.715,84.908,69.804,37.419,216624.64,17557.983
,GM12878,EDTA,14,6115,277.56,91.625,84.975,43.596,346413.618,23876.997
,GM12878,EDTA,15,3964,223.379,73.473,68.694,35.144,181536.52,15516.904
,GM12878,EDTA,16,3893,221.171,70.419,70.389,35.2,182682.971,15569.793
,GM12878,EDTA,17,4600,241.733,84.686,69.161,37.168,212096.143,17320.091
,GM12878,EDTA,18,3993,225.786,78.871,64.46,34.632,171591.817,15037.334
,GM12878,EDTA,19,4557,241.402,84.241,68.876,36.999,209246.388,17163.277
,GM12878,EDTA,20,8163,320.364,104.865,99.113,50.515,539374.521,32061.778
112316_EDTA_4.tif,GM12878,EDTA,1,4503,239.338,83.112,68.984,36.847,207089.987,17028.469
,GM12878,EDTA,2,6812,293.984,100.28,86.491,45.544,392784.901,26035.341
,GM12878,EDTA,3,7394,306.155,104.522,90.071,47.444,443993.183,28252.927
,GM12878,EDTA,4,5129,254.871,87.09,74.985,39.51,256398.632,19593.344
,GM12878,EDTA,5,5100,254.518,86.88,74.741,39.394,254118.477,19477.849
,GM12878,EDTA,6,4673,243.659,83.412,71.331,37.679,222220.327,17817.268
,GM12878,EDTA,7,4609,241.449,82.44,71.183,37.468,218720.344,17620.924
,GM12878,EDTA,8,5032,252.624,86.312,74.23,39.129,249016.843,19216.577
